base,digits,fixed_point_values
10,20,"63333333317666666664,88664432199776553312,97533333308666666421,97755333108866644221,97775551108884442221,99753333308666664201,99775533108866442201,99975333308666642001,99977553108864422001,99997533308666420001,99997755108844220001,99999753308664200001,99999975308642000001,99999997508420000001"
10,21,"555555499999994444445,864333333197666666532,987654332098766543211,998765432098765432101,999876542098754321001"
10,22,"6333333333176666666664,8866443321997766553312,9753333333086666666421,9775533331088666644221,9777555311088864442221,9975333333086666664201,9977553331088666442201,9977755511088844422201,9997533333086666642001,9997755331088664422001,9999753333086666420001,9999775531088644220001,9999975333086664200001,9999977551088442200001,9999997533086642000001,9999999753086420000001,9999999975084200000001"
10,23,"86433333331976666666532,87765443219997765543222,98765433320987666543211,98776554210988754432211,99876543320987665432101,99987654320987654321001,99998765420987543210001"
10,24,"555555549999999944444445,633333333331766666666664,886644333219977666553312,975333333330866666666421,977553333310886666644221,977755533110888664442221,997533333330866666664201,997755333310886666442201,997775553110888644422201,999753333330866666642001,999775533310886664422001,999777555110888444222001,999975333330866666420001,999977553310886644220001,999997533330866664200001,999997755310886442200001,999999753330866642000001,999999775510884422000001,999999975330866420000001,999999997530864200000001,999999999750842000000001"
10,25,"8643333333319766666666532,9876543333209876666543211,9877655432109887654432211,9987654333209876665432101,9987765542109887544322101,9998765433209876654321001,9999876543209876543210001,9999987654209875432100001"
10,26,"63333333333317666666666664,88664433332199776666553312,97533333333308666666666421,97755333333108866666644221,97775553331108886664442221,97777555511108888444422221,98876654422099877554332111,99753333333308666666664201,99775533333108866666442201,99777555331108886644422201,99975333333308666666642001,99977553333108866664422001,99977755531108886444222001,99997533333308666666420001,99997755333108866644220001,99997775551108884442220001,99999753333308666664200001,99999775533108866442200001,99999975333308666642000001,99999977553108864422000001,99999997533308666420000001,99999997755108844220000001,99999999753308664200000001,99999999975308642000000001,99999999997508420000000001"
10,27,"555555554999999999444444445,864333333333197666666666532,888666444221999777555333112,987654333332098766666543211,987765543321098876654432211,998765433332098766665432101,998776554321098876544322101,999876543332098766654321001,999877655421098875443221001,999987654332098766543210001,999998765432098765432100001,999999876542098754321000001"
10,28,"6333333333333176666666666664,8866443333321997766666553312,9753333333333086666666666421,9775533333331088666666644221,9777555333311088866664442221,9777755553111088886444422221,9887665443220998776554332111,9975333333333086666666664201,9977553333331088666666442201,9977755533311088866644422201,9977775555111088884444222201,9988766544220998775543321101,9997533333333086666666642001,9997755333331088666664422001,9997775553311088866444222001,9999753333333086666666420001,9999775533331088666644220001,9999777555311088864442220001,9999975333333086666664200001,9999977553331088666442200001,9999977755511088844422200001,9999997533333086666642000001,9999997755331088664422000001,9999999753333086666420000001,9999999775531088644220000001,9999999975333086664200000001,9999999977551088442200000001,9999999997533086642000000001,9999999999753086420000000001,9999999999975084200000000001"
10,29,"86433333333331976666666666532,88866644432219997776555333112,98765433333320987666666543211,98776554333210988766654432211,98777655542110988875444322211,99876543333320987666665432101,99877655433210988766544322101,99987654333320987666654321001,99987765543210988765443221001,99998765433320987666543210001,99998776554210988754432210001,99999876543320987665432100001,99999987654320987654321000001,99999998765420987543210000001"
10,30,"555555555499999999994444444445,633333333333331766666666666664,886644333333219977666666553312,975333333333330866666666666421,977553333333310886666666644221,977755533333110888666664442221,977775555331110888866444422221,988766544332209987766554332111,997533333333330866666666664201,997755333333310886666666442201,997775553333110888666644422201,997777555531110888864444222201,998876654432209987765543321101,999753333333330866666666642001,999775533333310886666664422001,999777555333110888666444222001,999777755551110888844442222001,999887665442209987755433211001,999975333333330866666666420001,999977553333310886666644220001,999977755533110888664442220001,999997533333330866666664200001,999997755333310886666442200001,999997775553110888644422200001,999999753333330866666642000001,999999775533310886664422000001,999999777555110888444222000001,999999975333330866666420000001,999999977553310886644220000001,999999997533330866664200000001,999999997755310886442200000001,999999999753330866642000000001,999999999775510884422000000001,999999999975330866420000000001,999999999997530864200000000001,999999999999750842000000000001"
